Title;DOI;Decision
Chitosan nanofilm and electrospun nanofiber for quick drug release in the treatment of Alzheimer's disease: In vitro and in vivo evaluation.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.021;exclude
Chitosan Nanoparticles as a Mucoadhesive Drug Delivery System for Ocular Administration.;https://dx.doi.org/10.3390/md15120370;exclude
Chitosan nanoparticles as alternative anti-staphylococci agents: Bactericidal, antibiofilm and antiadhesive effects.;https://dx.doi.org/10.1016/j.msec.2017.05.047;exclude
Chitosan nanoparticles enhances the anti-quorum sensing activity of kaempferol.;https://dx.doi.org/10.1016/j.ijbiomac.2016.10.068;exclude
Chitosan surface modified electrospun poly(epsilon-caprolactone)/carbon nanotube composite fibers with enhanced mechanical, cell proliferation and antibacterial properties.;https://dx.doi.org/10.1016/j.ijbiomac.2017.06.044;exclude
Chitosan-Based Nanomedicine to Fight Genital Candida Infections: Chitosomes.;https://dx.doi.org/10.3390/md15030064;exclude
Chitosan-propolis nanoparticle formulation demonstrates anti-bacterial activity against Enterococcus faecalis biofilms.;https://dx.doi.org/10.1371/journal.pone.0174888;exclude
Chitosan-zinc oxide nanocomposite coatings for the prevention of marine biofouling.;https://dx.doi.org/10.1016/j.chemosphere.2016.10.033;exclude
Chitosan/banana peel powder nanocomposites for wound dressing application: Preparation and characterization.;https://dx.doi.org/10.1016/j.msec.2016.11.104;exclude
Chitosan/Cyclodextrin/TPP Nanoparticles Loaded with Quercetin as Novel Bacterial Quorum Sensing Inhibitors.;https://dx.doi.org/10.3390/molecules22111975;exclude
Chitosan/zinc oxide-polyvinylpyrrolidone (CS/ZnO-PVP) nanocomposite for better thermal and antibacterial activity.;https://dx.doi.org/10.1016/j.ijbiomac.2017.02.079;exclude
Controlled release of cefazolin sodium antibiotic drug from electrospun chitosan-polyethylene oxide nanofibrous Mats.;https://dx.doi.org/10.1016/j.msec.2016.10.048;exclude
Curcumin-loaded chitosan/carboxymethyl starch/montmorillonite bio-nanocomposite for reduction of dental bacterial biofilm formation.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.101;exclude
Decontamination of fresh-cut cucumber slices by a combination of a modified chitosan coating containing carvacrol nanoemulsions and pulsed light.;https://dx.doi.org/10.1016/j.ijfoodmicro.2017.08.011;exclude
Development of bone-like zirconium oxide nanoceramic modified chitosan based porous nanocomposites for biomedical application.;https://dx.doi.org/10.1016/j.ijbiomac.2016.11.052;exclude
Development of chitosan-sodium phytate nanoparticles as a potent antibacterial agent.;https://dx.doi.org/10.1016/j.carbpol.2017.09.053;exclude
Development of fish collagen/bioactive glass/chitosan composite nanofibers as a GTR/GBR membrane for inducing periodontal tissue regeneration.;https://dx.doi.org/10.1088/1748-605X/aa7b55;exclude
Development of silver nanoparticles loaded chitosan-alginate constructs with biomedical potentialities.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.047;exclude
Double-coated enrofloxacin microparticles with chitosan and alginate: Preparation, characterization and taste-masking effect study.;https://dx.doi.org/10.1016/j.carbpol.2017.04.071;exclude
Dual antibacterial activities of a chitosan-modified upconversion photodynamic therapy system against drug-resistant bacteria in deep tissue.;https://dx.doi.org/10.1039/c6nr07188k;exclude
Effect of Chitosan Physical Form on Its Antibacterial Activity Against Pathogenic Bacteria.;https://dx.doi.org/10.1111/1750-3841.13635;exclude
Electrospun polycaprolactone nanofibres decorated by drug loaded chitosan nano-reservoirs for antibacterial treatments.;https://dx.doi.org/10.1088/1361-6528/aa9542;exclude
Enhanced antibacterial and wound healing activities of microporous chitosan-Ag/ZnO composite dressing.;https://dx.doi.org/10.1016/j.carbpol.2016.09.051;exclude
Enhanced antibacterial efficacy of silver nanoparticles immobilized in a chitosan nanocarrier.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.043;exclude
Enhancement of antioxidant and antibacterial properties for tannin acid/chitosan/tripolyphosphate nanoparticles filled electrospinning films: Surface modification of sliver nanoparticles.;https://dx.doi.org/10.1016/j.ijbiomac.2017.06.114;exclude
Fabrication and characterization of bactericidal thiol-chitosan and chitosan iodoacetamide nanofibres.;https://dx.doi.org/10.1016/j.ijbiomac.2016.07.061;exclude
Fabrication and characterization of chitosan, polyvinylpyrrolidone, and cellulose nanowhiskers nanocomposite films for wound healing drug delivery application.;https://dx.doi.org/10.1002/jbm.a.36097;exclude
Flexible chitosan-nano ZnO antimicrobial pouches as a new material for extending the shelf life of raw meat.;https://dx.doi.org/10.1016/j.ijbiomac.2017.01.052;exclude
Formation and distribution of ZnO nanoparticles and its effect on E. coli in the presence of sepiolite and silica within the chitosan matrix via sonochemistry.;https://dx.doi.org/10.1016/j.ultsonch.2016.08.027;exclude
Formulation and characterization of chitosan encapsulated phytoconstituents of curcumin and rutin nanoparticles.;https://dx.doi.org/10.1016/j.ijbiomac.2017.06.112;exclude
Fucoidan coated ciprofloxacin loaded chitosan nanoparticles for the treatment of intracellular and biofilm infections of Salmonella.;https://dx.doi.org/10.1016/j.colsurfb.2017.09.003;exclude
Fungal chitosan based nanocomposites sponges-An alternative medicine for wound dressing.;https://dx.doi.org/10.1016/j.ijbiomac.2017.03.188;exclude
Highly biocompatible chitosan with super paramagnetic calcium ferrite (CaFe2O4) nanoparticle for the release of ampicillin.;https://dx.doi.org/10.1016/j.ijbiomac.2017.01.036;exclude
In situ reduction of silver nanoparticles by chitosan-l-glutamic acid/hyaluronic acid: Enhancing antimicrobial and wound-healing activity.;https://dx.doi.org/10.1016/j.carbpol.2017.06.035;exclude
In Vitro and In Vivo Evaluation of Tetracycline Loaded Chitosan-Gelatin Nanosphere Coatings for Titanium Surface Functionalization.;https://dx.doi.org/10.1002/mabi.201600130;exclude
Integration of lysozyme into chitosan nanoparticles for improving antibacterial activity.;https://dx.doi.org/10.1016/j.carbpol.2016.08.076;exclude
Investigation of antifouling and disinfection potential of chitosan coated iron oxide-PAN hollow fiber membrane using Gram-positive and Gram-negative bacteria.;https://dx.doi.org/10.1016/j.msec.2017.02.039;exclude
Loading of chitosan - Nano metal oxide hybrids onto cotton/polyester fabrics to impart permanent and effective multifunctions.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.099;exclude
Low molecular weight chitosan-coated silver nanoparticles are effective for the treatment of MRSA-infected wounds.;https://dx.doi.org/10.2147/IJN.S122357;exclude
Magnetic stimuli-responsive chitosan-based drug delivery biocomposite for multiple triggered release.;https://dx.doi.org/10.1016/j.ijbiomac.2017.03.141;exclude
Mechanism of Action of Electrospun Chitosan-Based Nanofibers against Meat Spoilage and Pathogenic Bacteria.;https://dx.doi.org/10.3390/molecules22040585;exclude
Morphology and properties of neutralized chitosan-cellulose nanocrystals biocomposite films.;https://dx.doi.org/10.1016/j.carbpol.2016.09.031;exclude
Multifunctional nanocomposites of chitosan, silver nanoparticles, copper nanoparticles and carbon nanotubes for water treatment: Antimicrobial characteristics.;https://dx.doi.org/10.1016/j.ijbiomac.2017.01.032;exclude
Nano cellulose dispersed chitosan film with Ag NPs/Curcumin: An in vivo study on Albino Rats for wound dressing.;https://dx.doi.org/10.1016/j.ijbiomac.2017.06.096;exclude
PEGylated chitosan protected silver nanoparticles as water-borne coating for leather with antibacterial property.;https://dx.doi.org/10.1016/j.jcis.2016.11.103;exclude
pH-responsive chitosan nanoparticles from a novel twin-chain anionic amphiphile for controlled and targeted delivery of vancomycin.;https://dx.doi.org/10.1016/j.colsurfb.2017.07.049;exclude
Photocatalytic and antimicrobial activities of chitosan-TiO2 nanocomposite.;https://dx.doi.org/10.1016/j.ijbiomac.2017.03.121;exclude
Photochemical synthesis of silver nanoparticles on chitosans/montmorillonite nanocomposite films and antibacterial activity.;https://dx.doi.org/10.1016/j.carbpol.2017.05.021;exclude
Photoresponsive colorimetric immunoassay based on chitosan modified AgI/TiO2 heterojunction for highly sensitive chloramphenicol detection.;https://dx.doi.org/10.1016/j.bios.2016.09.002;exclude
Preparation and characterization of chitosan-bentonite nanocomposite films for wound healing application.;https://dx.doi.org/10.1016/j.ijbiomac.2017.02.080;exclude
Preparation and cytotoxicity of chitosan-based hydrogels modified with silver nanoparticles.;https://dx.doi.org/10.1016/j.colsurfb.2017.09.044;exclude
Preparation of a novel antibacterial chitosan-poly(ethylene glycol) cryogel/silver nanoparticles composites.;https://dx.doi.org/10.1080/09205063.2017.1321346;exclude
Preparation of chitosan-TiO2 composite film with efficient antimicrobial activities under visible light for food packaging applications.;https://dx.doi.org/10.1016/j.carbpol.2017.03.073;exclude
Preparation, characterization and antibacterial applications of carboxymethyl chitosan/CuO nanocomposite hydrogels.;https://dx.doi.org/10.1016/j.ijbiomac.2017.03.132;exclude
Preparation, characterization, and in vitro cytotoxicity of chitosan hydrogels containing silver nanoparticles.;https://dx.doi.org/10.1080/09205063.2017.1344116;exclude
Promising biocidal activity of thymol loaded chitosan silver nanoparticles (T-C@AgNPs) as anti-infective agents against perilous pathogens.;https://dx.doi.org/10.1016/j.ijbiomac.2017.05.030;exclude
Release study and inhibitory activity of thyme essential oil-loaded chitosan nanoparticles and nanocapsules against foodborne bacteria.;https://dx.doi.org/10.1016/j.ijbiomac.2017.05.063;exclude
Silver deposited carboxymethyl chitosan-grafted magnetic nanoparticles as dual action deliverable antimicrobial materials.;https://dx.doi.org/10.1016/j.msec.2016.12.066;exclude
Silver Inlaid with Gold Nanoparticle/Chitosan Wound Dressing Enhances Antibacterial Activity and Porosity, and Promotes Wound Healing.;https://dx.doi.org/10.1021/acs.biomac.7b01180;exclude
Silver nanoparticle loaded collagen/chitosan scaffolds promote wound healing via regulating fibroblast migration and macrophage activation.;https://dx.doi.org/10.1038/s41598-017-10481-0;exclude
Smart and Fragrant Garment via Surface Modification of Cotton Fabric With Cinnamon Oil/Stimuli Responsive PNIPAAm/Chitosan Nano Hydrogels.;https://dx.doi.org/10.1109/TNB.2017.2710630;exclude
Spanish Broom (Spartium junceum L.) fibers impregnated with vancomycin-loaded chitosan nanoparticles as new antibacterial wound dressing: Preparation, characterization and antibacterial activity.;https://dx.doi.org/10.1016/j.ejps.2016.11.028;exclude
Spongy bilayer dressing composed of chitosan-Ag nanoparticles and chitosan-Bletilla striata polysaccharide for wound healing applications.;https://dx.doi.org/10.1016/j.carbpol.2016.11.040;exclude
Synthesis and characterization of Ag2S decorated chitosan nanocomposites and chitosan nanofibers for removal of lincosamides antibiotic.;https://dx.doi.org/10.1016/j.ijbiomac.2017.05.018;exclude
Synthesis and characterization of chitosan-PVP-nanocellulose composites for in-vitro wound dressing application.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.006;exclude
Synthesis, characterization and antibacterial activity of hybrid chitosan-cerium oxide nanoparticles: As a bionanomaterials.;https://dx.doi.org/10.1016/j.ijbiomac.2017.03.139;exclude
Synthesis, characterization and antibacterial study on the chitosan-functionalized Ag nanoparticles.;https://dx.doi.org/10.1016/j.msec.2017.02.154;exclude
Tetracycline hydrochloride-loaded electrospun nanofibers mats based on PVA and chitosan for wound dressing.;https://dx.doi.org/10.1016/j.msec.2017.03.199;exclude
The graphene oxide and chitosan biopolymer loads TiO2 for antibacterial and preservative research.;https://dx.doi.org/10.1016/j.foodchem.2016.10.054;exclude
Transparent Copper-Loaded Chitosan/Silica Antibacterial Coatings with Long-Term Efficacy.;https://dx.doi.org/10.1021/acsami.7b07700;exclude
Triclosan resistance reversion by encapsulation in chitosan-coated-nanocapsule containing alpha-bisabolol as core: development of wound dressing.;https://dx.doi.org/10.2147/IJN.S143324;exclude
Trimethyl chitosan-capped silver nanoparticles with positive surface charge: Their catalytic activity and antibacterial spectrum including multidrug-resistant strains of Acinetobacter baumannii.;https://dx.doi.org/10.1016/j.colsurfb.2017.03.054;exclude
Ultrahigh antibacterial efficacy of meropenem-loaded chitosan nanoparticles in a septic animal model.;https://dx.doi.org/10.1016/j.carbpol.2017.07.030;exclude
Using chitosan nanoparticles as drug carriers for the development of a silver sulfadiazine wound dressing.;https://dx.doi.org/10.1016/j.carbpol.2016.11.054;exclude
Utilization of flax (Linum usitatissimum) cellulose nanocrystals as reinforcing material for chitosan films.;https://dx.doi.org/10.1016/j.ijbiomac.2017.06.127;exclude
Wound healing applications of sericin/chitosan-capped silver nanoparticles incorporated hydrogel.;https://dx.doi.org/10.1007/s13346-016-0322-y;exclude
Wound healing properties of PVA/starch/chitosan hydrogel membranes with nano Zinc oxide as antibacterial wound dressing material.;https://dx.doi.org/10.1080/09205063.2017.1390383;exclude
Assembly of chitosan support matrix with gallic acid-functionalized nanoparticles.;https://dx.doi.org/10.1016/j.msec.2017.05.104;exclude
Cellulose Nanocrystal Reinforced Chitosan Coatings for Improving the Storability of Postharvest Pears Under Both Ambient and Cold Storages.;https://dx.doi.org/10.1111/1750-3841.13601;exclude
Citrate-modified maghemite enhanced binding of chitosan coating on cellulose porous membranes for potential application as wound dressing.;https://dx.doi.org/10.1016/j.carbpol.2017.03.012;exclude
Combined antibacterial/tissue regeneration response in thermal burns promoted by functional chitosan/silver nanocomposites.;https://dx.doi.org/10.1016/j.ijbiomac.2017.07.159;exclude
Release Behavior and Antibacterial Activity of Chitosan/Alginate Blends with Aloe vera and Silver Nanoparticles.;https://dx.doi.org/10.3390/md15100328;exclude
Sol-gel synthesis and characterizations of hybrid chitosan-PEG/calcium silicate nanocomposite modified with ZnO-NPs and (E102) for optical and antibacterial applications.;https://dx.doi.org/10.1016/j.ijbiomac.2017.01.059;exclude
Tinidazole functionalized homogeneous electrospun chitosan/poly (epsilon-caprolactone) hybrid nanofiber membrane: Development, optimization and its clinical implications.;https://dx.doi.org/10.1016/j.ijbiomac.2017.05.161;exclude
{101}-{001} Surface Heterojunction-Enhanced Antibacterial Activity of Titanium Dioxide Nanocrystals Under Sunlight Irradiation.;https://dx.doi.org/10.1021/acsami.6b16373;exclude
3beta-Hydroxy-urs-12-en-28-oic acid confers protection against ZnONPs induced adversity in Caenorhabditis elegans.;https://dx.doi.org/10.1016/j.etap.2017.05.004;exclude
3D scaffold with effective multidrug sequential release against bacteria biofilm.;https://dx.doi.org/10.1016/j.actbio.2016.11.028;exclude
3D-printed bioceramic scaffolds with antibacterial and osteogenic activity.;https://dx.doi.org/10.1088/1758-5090/aa6ed6;exclude
3D-Printed Microflow Injection Analysis Platform for Online Magnetic Nanoparticle Sorptive Extraction of Antimicrobials in Biological Specimens as a Front End to Liquid Chromatographic Assays.;https://dx.doi.org/10.1021/acs.analchem.7b03767;exclude
A Carbon-Dot-Based Fluorescent Nanosensor for Simple Visualization of Bacterial Nucleic Acids.;https://dx.doi.org/10.1002/mabi.201700086;exclude
A Comparative Study of Natural Antimicrobial Delivery Systems for Microbial Safety and Quality of Fresh-Cut Lettuce.;https://dx.doi.org/10.1111/1750-3841.13709;exclude
A decomposable silica-based antibacterial coating for percutaneous titanium implant.;https://dx.doi.org/10.2147/IJN.S123622;exclude
Antibacterial Orthodontic Adhesive Incorporating Polyethyleneimine Nanoparticles.;https://dx.doi.org/10.3290/j.ohpd.a38525;exclude
Antibacterial Performance of a PCL-PDMAEMA Blend Nanofiber-Based Scaffold Enhanced with Immobilized Silver Nanoparticles.;https://dx.doi.org/10.1021/acsami.6b14411;exclude
Antibacterial properties of nanostructured Cu-TiO2 surfaces for dental implants.;https://dx.doi.org/10.1039/c6bm00868b;exclude
Antibacterial properties of PEKK for orthopedic applications.;https://dx.doi.org/10.2147/IJN.S134983;exclude
Composites of Bacterial Cellulose and Small Molecule-Decorated Gold Nanoparticles for Treating Gram-Negative Bacteria-Infected Wounds.;https://dx.doi.org/10.1002/smll.201700130;exclude
Controlled extended octenidine release from a bacterial nanocellulose/Poloxamer hybrid system.;https://dx.doi.org/10.1016/j.ejpb.2016.11.025;exclude
Controlled release and long-term antibacterial activity of reduced graphene oxide/quaternary ammonium salt nanocomposites prepared by non-covalent modification.;https://dx.doi.org/10.1016/j.colsurfb.2016.10.016;exclude
Controlled release of a hydrophilic drug from electrospun amyloid-like protein blend nanofibers.;https://dx.doi.org/10.1016/j.msec.2017.08.003;exclude
Controlled Release of Naringin in Metal-Organic Framework-Loaded Mineralized Collagen Coating to Simultaneously Enhance Osseointegration and Antibacterial Activity.;https://dx.doi.org/10.1021/acsami.7b05296;exclude
Cytotoxicity of Pd nanostructures supported on PEN: Influence of sterilization on Pd/PEN interface.;https://dx.doi.org/10.1016/j.msec.2016.09.032;exclude
Cytotoxicity Study of Textile Fabrics Impregnated With CuO Nanoparticles in Mammalian Cells.;https://dx.doi.org/10.1177/1091581817736712;exclude
Cytotoxicity, genotoxicity and antibacterial activity of poly(vinyl alcohol)-coated silver nanoparticles and farnesol as irrigating solutions.;https://dx.doi.org/10.1016/j.archoralbio.2017.09.028;exclude
De Novo Synthesis and Functional Analysis of Polyphosphate-Loaded Poly(Ethylene) Glycol Hydrogel Nanoparticles Targeting Pyocyanin and Pyoverdin Production in Pseudomonas aeruginosa as a Model Intestinal Pathogen.;https://dx.doi.org/10.1007/s10439-016-1740-1;exclude
Decreased bacterial growth on titanium nanoscale topographies created by ion beam assisted evaporation.;https://dx.doi.org/10.2147/IJN.S119750;exclude
Defeating Bacterial Resistance and Preventing Mammalian Cells Toxicity Through Rational Design of Antibiotic-Functionalized Nanoparticles.;https://dx.doi.org/10.1038/s41598-017-01209-1;exclude
Degradation of paraoxon (VX chemical agent simulant) and bacteria by magnesium oxide depends on the crystalline structure of magnesium oxide.;https://dx.doi.org/10.1016/j.cbi.2016.11.023;exclude
Degradation photocatalysis of tetrodotoxin as a poison by gold doped PdO nanoparticles supported on reduced graphene oxide nanocomposites and evaluation of its antibacterial activity.;https://dx.doi.org/10.1016/j.jphotobiol.2016.12.027;exclude
Dendrimer pre-treatment enhances the skin permeation of chlorhexidine digluconate: Characterisation by in vitro percutaneous absorption studies and Time-of-Flight Secondary Ion Mass Spectrometry.;https://dx.doi.org/10.1016/j.ejps.2017.03.034;exclude
Deoxycholate-Enhanced Shigella Virulence Is Regulated by a Rare pi-Helix in the Type Three Secretion System Tip Protein IpaD.;https://dx.doi.org/10.1021/acs.biochem.7b00836;exclude
Design and Solidification of Fast-Releasing Clofazimine Nanoparticles for Treatment of Cryptosporidiosis.;https://dx.doi.org/10.1021/acs.molpharmaceut.7b00521;exclude
Design and synthesis of theranostic antibiotic nanodrugs that display enhanced antibacterial activity and luminescence.;https://dx.doi.org/10.1073/pnas.1708556114;exclude
Design of Antibacterial Poly(ether sulfone) Membranes via Covalently Attaching Hydrogel Thin Layers Loaded with Ag Nanoparticles.;https://dx.doi.org/10.1021/acsami.7b03176;exclude
Enhancement of the adsorption capacity of the light-weight expanded clay aggregate surface for the metronidazole antibiotic by coating with MgO nanoparticles: Studies on the kinetic, isotherm, and effects of environmental parameters.;https://dx.doi.org/10.1016/j.chemosphere.2017.02.043;exclude
Enhancement of the productivity of the potent bacteriocin avicin A and improvement of its stability using nanotechnology approaches.;https://dx.doi.org/10.1038/s41598-017-10157-9;exclude
Enhancing the antimicrobial activity of d-limonene nanoemulsion with the inclusion of epsilon-polylysine.;https://dx.doi.org/10.1016/j.foodchem.2016.10.037;exclude
Environmentally friendly procedure for in-situ coating of regenerated cellulose fibres with silver nanoparticles.;https://dx.doi.org/10.1016/j.carbpol.2017.01.060;exclude
Epoxy-silica/clay nanocomposite for silver-based antibacterial thin coatings: Synthesis and structural characterization.;https://dx.doi.org/10.1016/j.jcis.2017.08.058;exclude
Erythrocyte membrane-coated nanogel for combinatorial antivirulence and responsive antimicrobial delivery against Staphylococcus aureus infection.;https://dx.doi.org/10.1016/j.jconrel.2017.01.016;exclude
Erythromycin encapsulation in nanoemulsion-based delivery systems for treatment of Helicobacter pylori infection: Protection and synergy.;https://dx.doi.org/10.1016/j.bbrc.2017.09.060;exclude
Essential Oils Against Pathogen and Spoilage Microorganisms of Fruit Juices: Use of Versatile Antimicrobial Delivery Systems.;https://dx.doi.org/10.1111/1750-3841.13614;exclude
Estimating the modulatory effect of cadmium chloride on the genotoxicity and mutagenicity of silver nanoparticles in mice.;https://dx.doi.org/10.14715/cmb/2017.63.9.22;exclude
Eumelanin-releasing spongy-like hydrogels for skin re-epithelialization purposes.;https://dx.doi.org/10.1088/1748-605X/aa5f79;exclude
Evaluation of anti-inflammatory effect of silver-coated glass beads in mice with experimentally induced colitis as a new type of treatment in inflammatory bowel disease.;https://dx.doi.org/10.1016/j.pharep.2017.01.003;exclude
Evaluation of antibacterial, angiogenic, and osteogenic activities of green synthesized gap-bridging copper-doped nanocomposite coatings.;https://dx.doi.org/10.2147/IJN.S141272;exclude
A non-woven fabric wound dressing containing layer - by - layer deposited hyaluronic acid and chitosan.;https://dx.doi.org/10.1016/j.ijbiomac.2018.03.149;exclude
A potential antibacterial wound dressing of cefadroxil chitosan nanoparticles in situ gel: Fabrication, in vitro optimization and in vivo evaluation.;https://dx.doi.org/10.1016/j.ijpharm.2018.04.021;exclude
A versatile and injectable poly(methyl methacrylate) cement functionalized with quaternized chitosan-glycerophosphate/nanosized hydroxyapatite hydrogels.;https://dx.doi.org/10.1016/j.msec.2018.04.075;exclude
Ag-loaded MgSrFe-layered double hydroxide/chitosan composite scaffold with enhanced osteogenic and antibacterial property for bone engineering tissue.;https://dx.doi.org/10.1002/jbm.b.33900;exclude
An inhibitory action of chitosan nanoparticles against pathogenic bacteria and fungi and their potential applications as biocompatible antioxidants.;https://dx.doi.org/10.1016/j.micpath.2017.11.043;exclude
Antibacterial and antifungal effects of chitosan nanoparticles on tissue conditioners of complete dentures.;https://dx.doi.org/10.1016/j.ijbiomac.2018.06.151;exclude
Antibacterial hop extracts encapsulated in nanochitosan matrices.;https://dx.doi.org/10.1016/j.ijbiomac.2018.09.003;exclude
Chitosan grafted SiO2-Fe3O4 nanoparticles for removal of antibiotics from water.;https://dx.doi.org/10.1007/s11356-018-3573-y;exclude
Chitosan nanoparticles loaded hydrogels promote skin wound healing through the modulation of reactive oxygen species.;https://dx.doi.org/10.1080/21691401.2017.1415212;exclude
Chitosan-polyvinyl alcohol nanoscale liquid film-forming system facilitates MRSA-infected wound healing by enhancing antibacterial and antibiofilm properties.;https://dx.doi.org/10.2147/IJN.S161680;exclude
Chitosan/Ag-hydroxyapatite nanocomposite beads as a potential adsorbent for the efficient removal of toxic aquatic pollutants.;https://dx.doi.org/10.1016/j.ijbiomac.2018.09.190;exclude
Chitosan/poly(ethylene glycol)/hyaluronic acid biocompatible patches obtained by electrospraying.;https://dx.doi.org/10.1088/1748-605X/aad368;exclude
Chitosan/silk fibroin modified nanofibrous patches with mesenchymal stem cells prevent heart remodeling post-myocardial infarction in rats.;https://dx.doi.org/10.1016/j.actbio.2018.09.013;exclude
Comparative antibacterial effects of cellulose nanofiber, chitosan nanofiber, chitosan/cellulose combination and chitosan alone against bacterial contamination of Iranian banknotes.;https://dx.doi.org/10.1016/j.ijbiomac.2018.06.160;exclude
Comprehensive in vitro and in vivo risk assessments of chitosan microparticles using human epithelial cells and Caenorhabditis elegans.;https://dx.doi.org/10.1016/j.jhazmat.2017.07.071;exclude
CuNPs-magadiite/chitosan nanocomposite beads as advanced antibacterial agent: Synthetic path and characterization.;https://dx.doi.org/10.1016/j.ijbiomac.2018.07.058;exclude
Development of 3D scaffolds using nanochitosan/silk-fibroin/hyaluronic acid biomaterials for tissue engineering applications.;https://dx.doi.org/10.1016/j.ijbiomac.2018.08.149;exclude
Development of electrospun nanofibers containing chitosan/PEO blend and phenolic compounds with antibacterial activity.;https://dx.doi.org/10.1016/j.ijbiomac.2018.05.224;exclude
Development of functional antimicrobial papers using chitosan/starch-silver nanoparticles.;https://dx.doi.org/10.1016/j.ijbiomac.2018.01.155;exclude
Development of novel pH-sensitive thiolated chitosan/PMLA nanoparticles for amoxicillin delivery to treat Helicobacter pylori.;https://dx.doi.org/10.1016/j.msec.2017.08.038;exclude
Edible Chitosan Films and Their Nanosized Counterparts Exhibit Antimicrobial Activity and Enhanced Mechanical and Barrier Properties.;https://dx.doi.org/10.3390/molecules24010127;exclude
Effect of vinyl montmorillonite on the physical, responsive and antimicrobial properties of the optimized polyacrylic acid/chitosan superabsorbent via Box-Behnken model.;https://dx.doi.org/10.1016/j.ijbiomac.2018.05.081;exclude
Electrospun Chitosan/Poly(ethylene oxide)/Lauric Arginate Nanofibrous Film with Enhanced Antimicrobial Activity.;https://dx.doi.org/10.1021/acs.jafc.8b01493;exclude
Electrospun PCL/mupirocin and chitosan/lidocaine hydrochloride multifunctional double layer nanofibrous scaffolds for wound dressing applications.;https://dx.doi.org/10.2147/IJN.S177256;exclude
Electrospun silver ion-loaded calcium phosphate/chitosan antibacterial composite fibrous membranes for guided bone regeneration.;https://dx.doi.org/10.2147/IJN.S167793;exclude
Engineering of chitosan-derived nanoparticles to enhance antimicrobial activity against foodborne pathogen Escherichia coli O157:H7.;https://dx.doi.org/10.1016/j.carbpol.2018.06.046;exclude
